winner,total_rounds,rounds_since_last_stuck,average_rounds_between_stuck,total_stuck_events
Player 2,17.0,0.0,0.0,0.0
Player 2,35.0,5.0,16.0,2.0
Player 2,20.0,0.0,0.0,0.0
Player 1,26.0,13.0,13.0,1.0
Player 2,18.0,0.0,0.0,0.0
Player 1,49.0,15.0,16.0,4.0
Player 1,49.0,1.0,15.0,5.0
Player 1,44.0,33.0,24.0,2.0
Player 1,34.0,21.0,14.0,2.0
Player 1,14.0,0.0,0.0,0.0
Player 2,18.0,0.0,0.0,0.0
Player 2,28.0,13.0,13.0,1.0
Player 2,20.0,0.0,0.0,0.0
Player 1,32.0,17.0,16.0,2.0
Player 1,35.0,11.0,13.666666666666666,3.0
Player 2,25.0,13.0,13.0,1.0
Player 1,41.0,9.0,13.666666666666666,3.0
Player 2,15.0,0.0,0.0,0.0
Player 1,24.0,15.0,15.0,1.0
Player 2,18.0,0.0,0.0,0.0
Player 1,41.0,1.0,13.5,4.0
Player 2,18.0,0.0,0.0,0.0
Player 2,18.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 1,17.0,0.0,0.0,0.0
Player 1,38.0,25.0,22.0,2.0
Player 1,49.0,9.0,14.5,4.0
Player 2,17.0,0.0,0.0,0.0
Player 2,17.0,0.0,0.0,0.0
Player 1,27.0,1.0,8.0,2.0
Player 2,18.0,9.0,9.0,1.0
Player 2,16.0,0.0,0.0,0.0
Player 2,22.0,5.0,5.0,1.0
Player 2,31.0,5.0,14.0,2.0
Player 2,21.0,0.0,0.0,0.0
Player 1,58.0,3.0,11.666666666666666,6.0
Player 2,16.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 1,17.0,0.0,0.0,0.0
Player 1,30.0,25.0,25.0,1.0
Player 1,43.0,25.0,12.2,5.0
Player 2,19.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 2,18.0,0.0,0.0,0.0
Player 1,19.0,0.0,0.0,0.0
Player 1,23.0,27.0,27.0,1.0
Player 2,23.0,7.0,6.0,2.0
Player 2,21.0,0.0,0.0,0.0
Player 2,42.0,25.0,13.666666666666666,3.0
Player 2,15.0,0.0,0.0,0.0
Player 1,23.0,19.0,19.0,1.0
Player 2,21.0,0.0,0.0,0.0
Player 2,32.0,11.0,21.0,2.0
Player 1,19.0,7.0,7.0,1.0
Player 1,82.0,15.0,11.4,10.0
Player 2,33.0,29.0,29.0,1.0
Player 1,26.0,17.0,10.0,2.0
Player 1,20.0,0.0,0.0,0.0
Player 2,19.0,0.0,0.0,0.0
Player 1,20.0,0.0,0.0,0.0
Player 1,58.0,3.0,11.666666666666666,6.0
Player 1,26.0,11.0,7.0,2.0
Player 1,20.0,0.0,0.0,0.0
Player 1,21.0,9.0,9.0,1.0
Player 1,73.0,15.0,13.857142857142858,7.0
Player 1,20.0,0.0,0.0,0.0
Player 1,37.0,15.0,17.0,2.0
Player 1,19.0,0.0,0.0,0.0
Player 1,17.0,0.0,0.0,0.0
